ticker,company,sector,screening_date,screening_price_inr,later_price_inr,later_date,approx_multiple,narrative,notes_source
NAVINFLUOR.NS,Navin Fluorine International,Materials,2017,250,4000,2021,~15x (approx),Fluorination niche + CRAMS/CDMO; high ROCE; long-term contracts; re-rating,"Approximate reference; specialty-fluorine leader. Verify exact adj prices in Phase 3."
TATAELXSI.NS,Tata Elxsi,Information Technology,2019,826,6285,2022,~8x (peak ~13x),ER&D/design niche; asset-light; high ROCE; margin expansion + digital re-rating,"~Rs826 (2019) to ~Rs6285 (2022), peak ~Rs10760; stockpricearchive. Earlier ~10x run 2014-2015 too."
PERSISTENT.NS,Persistent Systems,Information Technology,2019,337,2452,2021,~7x,Digital-engineering pivot; growth acceleration; margin + PE re-rating,"~Rs337 (2019) to ~Rs2452 (2021); stockpricearchive."
TCS.NS,Tata Consultancy Services,Information Technology,2010,110,2000,2021,~18x (approx),IT-services leader; huge FCF; very high ROE; disciplined capital return (buybacks/dividends),"Split/bonus-adjusted approximate (1:1 bonus 2018). Large-cap compounder - lower but very consistent."
AVANTIFEED.NS,Avanti Feeds,Consumer Staples,2012,8,700,2017,~80x,Vannamei shrimp-feed leader; Thai Union tie-up; ROCE ~66%; cash-based model; 53% sales CAGR,"Heavily split/bonus-adjusted approximate; +7361% over 5y to 2017 (LinkedIn/Forbes), 83x 2011-2017 (Big Vision). Agri/export cyclical - high volatility."
SYMPHONY.NS,Symphony Ltd,Consumer Discretionary,2010,15,1500,2017,~40x+ (approx),Asset-light single-product (air coolers) focus; very high ROCE; scalable outsourced model,"Split-adjusted approximate; +43007% over 10y to Nov-2017 (Business Standard/ACE). Use conservative post-2010 window."
AJANTPHARM.NS,Ajanta Pharma,Health Care,2012,40,1300,2017,~30x+ (approx),Branded generics in emerging markets; high ROCE; consistent earnings growth,"Split-adjusted approximate; +10399% by Nov-2017 (ACE). Verify exact ticker/adj in Phase 3."
CAPLIPOINT.NS,Caplin Point Laboratories,Health Care,2013,25,650,2017,~25x+ (approx),Latin-America niche pharma; strong FCF; high ROCE; cash-and-carry model,"Heavily adjusted approximate; +25640% by Nov-2017 (ACE)."
RELAXO.NS,Relaxo Footwears,Consumer Discretionary,2012,20,570,2017,~28x (approx),Value footwear brands (Hawaii/Flite/Sparx); volume growth; brand + distribution,"Split-adjusted approximate; +8222% by Nov-2017 (ACE)."
BALKRISIND.NS,Balkrishna Industries,Consumer Discretionary,2013,30,1000,2018,~10x (approx),Niche off-highway (OTR) tyre exporter; low-cost advantage; high ROCE; FCF,"Split-adjusted approximate; export-led compounder. Verify adj series in Phase 3."
HAVELLS.NS,Havells India,Industrials,2012,40,700,2019,~15x (approx),Electricals brand + distribution; ROCE improvement; Lloyd/consumer expansion,"Split/bonus-adjusted approximate."
KAJARIACER.NS,Kajaria Ceramics,Industrials,2012,40,700,2017,~15x (approx),Tile market leader; brand + dealer network; working-capital discipline; ROCE,"Split-adjusted approximate; +5636% by Nov-2017 (ACE)."
CHOLAFIN.NS,Cholamandalam Investment & Finance,Financials,2013,25,300,2018,~10x+ (approx),Vehicle-finance NBFC; book-value compounding; improving asset quality + ROE,"Split-adjusted approximate; among 500%+ NBFC multibaggers (Financial Express). NBFC - judge on ROE/asset quality not ROCE/Altman."
MUTHOOTFIN.NS,Muthoot Finance,Financials,2014,150,1400,2021,~9x,Gold-loan market leader; high ROE; strong collateralized book,"~Rs150 (2014) to ~Rs1400 (2021) approximate. NBFC - financials variant of screen."
DIXON.NS,Dixon Technologies,Industrials,2019,390,5500,2021,~14x,EMS/PLI beneficiary; asset-light; high asset-turn ROCE; volume-led; thin-margin model,"~Rs388 (Aug-2019) to ~Rs5500 (2021); stockpricearchive/TradeBrains. Listed 2017 - shallow history, watch low margins."
BERGEPAINT.NS,Berger Paints India,Materials,2012,20,200,2020,~10x (approx),#2 paints player; consistent ROCE; distribution expansion; steady compounding,"Split/bonus-adjusted approximate."
