ticker,yahoo_symbol,company,sector,entry_date,entry_price,price_3y,mult_3y,price_5y,mult_5y,peak_price_5y,peak_mult_5y,holding_years_available,label,data_source,verified,notes
BHEL,BHEL.NS,Bharat Heavy Electricals,CapitalGoods,2010-01-01,261.2961,132.3681,0.507,163.571,0.626,292.9113,1.121,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=destroyer; discovery=Rediff/PetroBazaar -90% m-cap; entry~2009-12-31; hist 1996-01-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
LT,LT.NS,Larsen & Toubro,CapitalGoods,2010-01-01,593.0851,584.0169,0.985,840.1276,1.417,971.0508,1.637,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=control; discovery=infra bellwether modest; entry~2009-12-31; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
SUZLON,SUZLON.NS,Suzlon Energy,CapitalGoods,2010-01-01,82.9606,17.0329,0.205,13.36,0.161,87.0008,1.049,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=destroyer; discovery=debt/cash-burn; destroyers.csv; entry~2009-12-31; hist 2005-10-19..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
HAVELLS,HAVELLS.NS,Havells India,CapitalGoods,2012-01-01,67.5968,250.3483,3.704,320.391,4.74,423.4123,6.264,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=electricals brand; ground_truth; entry~2012-01-02; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
KAJARIACER,KAJARIACER.NS,Kajaria Ceramics,CapitalGoods,2012-01-01,42.7857,272.1063,6.36,431.7407,10.091,681.3639,15.925,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=tile leader; ground_truth; entry~2012-01-02; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
SUPREMEIND,SUPREMEIND.NS,Supreme Industries,CapitalGoods,2012-01-01,146.2094,525.504,3.594,820.9248,5.615,911.0294,6.231,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=plastics compounder; entry~2012-01-02; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
CUMMINSIND,CUMMINSIND.NS,Cummins India,CapitalGoods,2014-01-01,377.5015,691.1203,1.831,742.1617,1.966,990.4012,2.624,5.0,intermediate,yfinance (auto_adjust=splits+dividends),True,"role=control; discovery=capital-goods modest; entry~2014-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, peak <3x and realized 5y in [1.5x,3x)"
ASTRAL,ASTRAL.NS,Astral,CapitalGoods,2015-01-01,172.5491,371.5481,2.153,649.429,3.764,687.3347,3.983,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MotilalOswal WCS consistent (45% CAGR); entry~2015-01-01; hist 2007-03-20..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
CERA,CERA.NS,Cera Sanitaryware,CapitalGoods,2015-01-01,1678.2283,3508.4229,2.091,2554.6843,1.522,3576.1663,2.131,5.0,intermediate,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=sanitaryware brand; entry~2015-01-01; hist 2007-11-02..2026-07-10; 5y_window_complete=True; label_basis=full 5y, peak <3x and realized 5y in [1.5x,3x)"
ABB,ABB.NS,ABB India,CapitalGoods,2016-01-01,969.3604,1171.9641,1.209,1180.9003,1.218,1485.4448,1.532,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=Lakshmishree 5y +435%; entry~2016-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes,CapitalGoods,2016-01-01,71.2084,113.6812,1.596,435.4855,6.116,435.4855,6.116,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MotilalOswal WCS fastest (60% CAGR); entry~2016-01-01; hist 2011-12-14..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
CENTURYPLY,CENTURYPLY.NS,Century Plyboards,CapitalGoods,2016-01-01,167.4576,173.8505,1.038,230.9944,1.379,348.6312,2.082,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=plywood/laminates brand; entry~2016-01-01; hist 2006-03-23..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
KEI,KEI.NS,KEI Industries,CapitalGoods,2016-01-01,114.8642,352.4569,3.068,471.3598,4.104,584.2809,5.087,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=wires & cables compounder; entry~2016-01-01; hist 2006-03-23..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
SIEMENS,SIEMENS.NS,Siemens,CapitalGoods,2016-01-01,627.9634,586.979,0.935,900.8948,1.435,954.9404,1.521,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=Lakshmishree 5y +500%; entry~2016-01-01; hist 1999-01-04..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
THERMAX,THERMAX.NS,Thermax,CapitalGoods,2016-01-01,834.2082,1075.8274,1.29,886.6233,1.063,1275.7513,1.529,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=control; discovery=capital-goods cyclical; entry~2016-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
CGPOWER,CGPOWER.NS,CG Power & Industrial,CapitalGoods,2017-01-01,59.2212,10.8169,0.183,192.1849,3.245,192.5306,3.251,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=control; discovery=accounting fraud 2019 (pre-turnaround); entry~2017-01-02; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
GARFIBRES,GARFIBRES.NS,Garware Technical Fibres,CapitalGoods,2017-01-01,116.1587,232.0833,1.998,625.8165,5.388,756.0162,6.508,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=technical textiles; entry~2017-01-02; hist 2002-08-12..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
RATNAMANI,RATNAMANI.NS,Ratnamani Metals & Tubes,CapitalGoods,2017-01-01,426.3836,689.0837,1.616,1270.5377,2.98,1475.4167,3.46,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=SS pipes niche leader; entry~2017-01-02; hist 2006-05-09..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
RNAVAL,RNAVAL.NS,Reliance Naval & Engineering,CapitalGoods,2017-01-01,15207.5,1292.5,0.085,1333.75,0.088,18892.5,1.242,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=destroyer; discovery=ADA shipyard insolvency (may be delisted); entry~2017-01-02; hist 2009-10-09..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
DIXON,DIXON.NS,Dixon Technologies,CapitalGoods,2019-01-01,406.854,5498.8638,13.516,6455.1685,15.866,6561.4834,16.127,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=EMS/PLI; ground_truth; entry~2019-01-01; hist 2017-09-18..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
POLYCAB,POLYCAB.NS,Polycab India,CapitalGoods,2019-05-01,611.3836,2419.1436,3.957,5582.7046,9.131,5607.73,9.172,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Lakshmishree 5y +982% (listed 2019); entry~2019-04-30; hist 2019-04-16..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
CDSL,CDSL.NS,Central Depository Services,CapitalMarkets,2019-01-01,104.8145,718.6199,6.856,893.5792,8.525,960.6339,9.165,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=depository monopoly (listed 2017); entry~2019-01-01; hist 2017-06-30..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
HDFCAMC,HDFCAMC.NS,HDFC Asset Management,CapitalMarkets,2019-01-01,657.4833,1101.655,1.676,1520.1636,2.312,1659.996,2.525,5.0,intermediate,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=AMC franchise (listed 2018); entry~2019-01-01; hist 2018-08-06..2026-07-10; 5y_window_complete=True; label_basis=full 5y, peak <3x and realized 5y in [1.5x,3x)"
IEX,IEX.NS,Indian Energy Exchange,CapitalMarkets,2019-01-01,49.5499,233.5688,4.714,158.1387,3.192,272.7894,5.505,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=power-exchange monopoly (listed 2017); entry~2019-01-01; hist 2017-10-23..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
CAMS,CAMS.NS,Computer Age Management Services,CapitalMarkets,2021-01-01,327.7593,507.6162,1.549,727.6941,2.22,1027.9884,3.136,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MF RTA duopoly (listed 2020); entry~2021-01-01; hist 2020-10-05..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
ANGELONE,ANGELONE.NS,Angel One,CapitalMarkets,2021-06-01,67.6666,238.4898,3.524,335.6,4.96,366.4555,5.416,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=discount broker scale-up (listed 2020); entry~2021-06-01; hist 2020-10-05..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
PIDILITIND,PIDILITIND.NS,Pidilite Industries,Chemicals,2010-01-01,43.8939,101.334,2.309,259.4796,5.912,259.4796,5.912,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Fevicol moat; ground_truth; entry~2009-12-31; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
ATUL,ATUL.NS,Atul,Chemicals,2014-01-01,442.1001,2006.1794,4.538,3352.3535,7.583,3500.4893,7.918,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=BCG India-chem TSR; specialty; entry~2014-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
PIIND,PIIND.NS,PI Industries,Chemicals,2014-01-01,239.5466,805.0845,3.361,846.8585,3.535,989.685,4.131,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=BCG agrochem TSR 55%; entry~2014-01-01; hist 2011-06-15..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
TATACHEM,TATACHEM.NS,Tata Chemicals,Chemicals,2014-01-01,77.824,167.5644,2.153,263.356,3.384,286.7491,3.685,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=control; discovery=commodity soda-ash cyclical; entry~2014-01-01; hist 1996-01-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
PIDILITIND,PIDILITIND.NS,Pidilite Industries,Chemicals,2015-01-01,259.4796,432.8036,1.668,682.9524,2.632,719.8857,2.774,5.0,intermediate,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=second cohort; entry~2015-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, peak <3x and realized 5y in [1.5x,3x)"
AARTIIND,AARTIIND.NS,Aarti Industries,Chemicals,2016-01-01,122.5243,341.5919,2.788,608.4525,4.966,624.2206,5.095,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MotilalOswal WCS consistent (40% CAGR); entry~2016-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals,Chemicals,2016-01-01,132.6189,306.5848,2.312,1492.9973,11.258,1604.5251,12.099,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MotilalOswal WCS consistent (79% CAGR); entry~2016-01-01; hist 2007-11-26..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
BALAMINES,BALAMINES.NS,Balaji Amines,Chemicals,2016-01-01,153.2549,438.4857,2.861,904.9437,5.905,1009.2213,6.585,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Ambit amines FY17-22; entry~2016-01-01; hist 2007-04-05..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite,Chemicals,2016-01-01,69.1774,213.7054,3.089,925.86,13.384,925.86,13.384,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MotilalOswal WCS fastest (90% CAGR); entry~2016-01-01; hist 2010-09-29..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
SRF,SRF.NS,SRF,Chemicals,2016-01-01,240.343,389.237,1.62,1093.8435,4.551,1093.8435,4.551,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MotilalOswal WCS consistent (33% CAGR); entry~2016-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
VINATIORGA,VINATIORGA.NS,Vinati Organics,Chemicals,2016-01-01,224.6877,804.2703,3.58,1186.8643,5.282,1335.0013,5.942,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=MotilalOswal WCS consistent (48% CAGR); entry~2016-01-01; hist 2009-07-28..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine Intl,Chemicals,2017-01-01,475.1688,980.2661,2.063,4132.3813,8.697,4187.0884,8.812,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Ambit FY17-22 golden period; entry~2017-01-02; hist 2007-06-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
SOLARINDS,SOLARINDS.NS,Solar Industries India,Chemicals,2017-01-01,658.5157,1054.3235,1.601,2406.2681,3.654,2843.342,4.318,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=explosives/defense compounder; entry~2017-01-02; hist 2006-04-03..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
FINEORG,FINEORG.NS,Fine Organic Industries,Chemicals,2019-01-01,1189.3516,3687.3269,3.1,4943.1973,4.156,7154.0684,6.015,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=oleochemicals (listed 2018); entry~2019-01-01; hist 2018-07-02..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
PAGEIND,PAGEIND.NS,Page Industries,Consumer,2010-01-01,722.5043,2987.0967,4.134,11008.1201,15.236,11223.0254,15.534,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Jockey licensee; ground_truth; entry~2009-12-31; hist 2007-03-16..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
TITAN,TITAN.NS,Titan Company,Consumer,2010-01-01,65.4568,266.6754,4.074,361.5374,5.523,399.2333,6.099,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=brand/pricing power; ground_truth; entry~2009-12-31; hist 1996-01-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
SYMPHONY,SYMPHONY.NS,Symphony,Consumer,2011-07-01,95.9405,447.6774,4.666,1146.2596,11.948,1431.1139,14.917,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=asset-light air coolers; ground_truth; entry~2011-07-01; hist 2011-06-15..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
GITANJALI,GITANJALI.NS,Gitanjali Gems,Consumer,2012-01-01,289.7734,52.6772,0.182,55.8103,0.193,590.8455,2.039,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=destroyer; discovery=PNB fraud/liquidation; destroyers.csv; entry~2012-01-02; hist 2006-03-10..2026-07-03; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
RELAXO,RELAXO.NS,Relaxo Footwears,Consumer,2012-01-01,11.3841,136.7593,12.013,196.0575,17.222,288.3369,25.328,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=value footwear; ground_truth; entry~2012-01-02; hist 2011-06-17..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
JUBLFOOD,JUBLFOOD.NS,Jubilant FoodWorks,Consumer,2014-01-01,125.6142,83.5526,0.665,245.8064,1.957,306.8276,2.443,5.0,intermediate,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=Domino's India QSR compounder; entry~2014-01-01; hist 2010-02-08..2026-07-10; 5y_window_complete=True; label_basis=full 5y, peak <3x and realized 5y in [1.5x,3x)"
VGUARD,VGUARD.NS,V-Guard Industries,Consumer,2014-01-01,32.139,111.7332,3.477,221.5447,6.893,241.7883,7.523,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=electricals compounder; entry~2014-01-01; hist 2008-03-13..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
VOLTAS,VOLTAS.NS,Voltas,Consumer,2014-01-01,109.0008,310.6693,2.85,532.8607,4.889,636.8842,5.843,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=cooling products re-rating; entry~2014-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
BATAINDIA,BATAINDIA.NS,Bata India,Consumer,2015-01-01,592.4641,701.9774,1.185,1637.8463,2.764,1695.6536,2.862,5.0,intermediate,yfinance (auto_adjust=splits+dividends),True,"role=control; discovery=footwear modest; entry~2015-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, peak <3x and realized 5y in [1.5x,3x)"
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India,Consumer,2015-01-01,637.0997,1588.1339,2.493,2292.9741,3.599,2390.1667,3.752,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=control; discovery=appliances flat post-2018; entry~2015-01-01; hist 2002-08-12..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
TITAN,TITAN.NS,Titan Company,Consumer,2016-01-01,337.3345,906.126,2.686,1538.1014,4.56,1538.1014,4.56,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=second cohort; entry~2016-01-01; hist 1996-01-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
TRENT,TRENT.NS,Trent,Consumer,2016-01-01,172.3404,359.3853,2.085,684.1579,3.97,791.0699,4.59,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=ETNow 7-yr beat; Zudio (BusinessToday +1050%); entry~2016-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
CROMPTON,CROMPTON.NS,Crompton Greaves Consumer,Consumer,2017-01-01,138.6851,230.8699,1.665,423.1566,3.051,476.1178,3.433,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=consumer electricals (listed 2016); entry~2017-01-02; hist 2016-05-13..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
KPRMILL,KPRMILL.NS,K.P.R. Mill,Consumer,2017-01-01,109.6534,127.9275,1.167,655.6248,5.979,664.8818,6.063,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=integrated textiles compounder; entry~2017-01-02; hist 2007-08-28..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
PCJEWELLER,PCJEWELLER.NS,PC Jeweller,Consumer,2017-01-01,19.3668,2.43,0.125,2.695,0.139,58.3733,3.014,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=destroyer; discovery=governance/receivables collapse; entry~2017-01-02; hist 2012-12-27..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
RADICO,RADICO.NS,Radico Khaitan,Consumer,2017-01-01,107.6933,315.7956,2.932,1225.7397,11.382,1231.9866,11.44,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=premium spirits re-rating; entry~2017-01-02; hist 2003-06-18..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
DMART,DMART.NS,Avenue Supermarts,Consumer,2018-01-01,1170.5,2763.6001,2.361,4072.75,3.479,5323.75,4.548,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=value retail compounder (listed 2017); entry~2018-01-01; hist 2017-03-21..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
COFFEEDAY,COFFEEDAY.NS,Coffee Day Enterprises,Consumer,2019-01-01,278.25,42.7,0.153,65.05,0.234,309.8,1.113,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=destroyer; discovery=promoter debt/diversion collapse; entry~2019-01-01; hist 2015-11-02..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
TRENT,TRENT.NS,Trent,Consumer,2019-01-01,359.0382,1060.1288,2.953,2994.5713,8.341,3047.2886,8.487,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=second cohort (Zudio scale-up); entry~2019-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
SAREGAMA,SAREGAMA.NS,Saregama India,Consumer,2020-01-01,39.3904,360.4651,9.151,453.8556,11.522,661.5131,16.794,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=music-IP monetisation; entry~2020-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
BEL,BEL.NS,Bharat Electronics,Defense,2016-01-01,34.5984,25.353,0.733,36.6531,1.059,53.7465,1.553,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=winner; discovery=Lakshmishree 5y +720%; defense; entry~2016-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
BDL,BDL.NS,Bharat Dynamics,Defense,2019-01-01,122.9583,186.8819,1.52,852.0607,6.93,871.0348,7.084,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=defense missiles (listed 2018); entry~2019-01-01; hist 2018-03-23..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
HAL,HAL.NS,Hindustan Aeronautics,Defense,2020-01-01,307.1591,1216.2296,3.96,4100.3032,13.349,5501.7954,17.912,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Lakshmishree 5y +1409% (listed 2018); entry~2020-01-01; hist 2018-04-02..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
MAZDOCK,MAZDOCK.NS,Mazagon Dock Shipbuilders,Defense,2021-01-01,103.1095,1126.6676,10.927,2469.0081,23.945,3727.9988,36.156,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=defense shipbuilder (listed 2020); entry~2021-01-01; hist 2020-10-12..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
ONGC,ONGC.NS,Oil & Natural Gas Corp,Energy,2010-01-01,95.2851,95.2853,1.0,129.9112,1.363,173.1668,1.817,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=destroyer; discovery=PetroBazaar -53% decade; entry~2009-12-31; hist 1996-01-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
GAIL,GAIL.NS,GAIL India,Energy,2011-01-01,58.6685,41.881,0.714,46.9476,0.8,66.4298,1.132,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=control; discovery=PetroBazaar -20% decade; entry~2010-12-31; hist 1997-04-02..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
